Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Lineage
,2020.OL,2020.OL,2020.OL,2020.OL,2020.OL,2020.OL,,
2019-07-12,67.34654998779297,83.0,90.0,83.0,87.19999694824219,40831,2020.OL,DryBulk
2019-07-15,65.72373962402344,81.0,83.9800033569336,81.0,83.0,8810,2020.OL,DryBulk
2019-07-16,65.72373962402344,81.0,81.0,80.0,81.0,21400,2020.OL,DryBulk
2019-07-17,65.72373962402344,81.0,81.0,80.51000213623047,81.0,12966,2020.OL,DryBulk
2019-07-18,64.91231536865234,80.0,80.01000213623047,77.01000213623047,80.01000213623047,4789,2020.OL,DryBulk
2019-07-19,64.10092163085938,79.0,79.0,78.0,78.0,5030,2020.OL,DryBulk
2019-07-22,63.69526672363281,78.5,80.97000122070312,78.01000213623047,80.19999694824219,8989,2020.OL,DryBulk
2019-07-23,63.28953552246094,78.0,78.5,78.0,78.5,500,2020.OL,DryBulk
2019-07-24,61.66672897338867,76.0,79.0,76.0,79.0,2151,2020.OL,DryBulk
2019-07-25,62.80270767211914,77.4000015258789,78.98999786376953,77.0,78.0,12126,2020.OL,DryBulk
2019-07-26,62.80270767211914,77.4000015258789,77.4000015258789,77.4000015258789,77.4000015258789,0,2020.OL,DryBulk
2019-07-29,62.46999740600586,76.98999786376953,78.0,76.0199966430664,76.0199966430664,2195,2020.OL,DryBulk
2019-07-30,62.478118896484375,77.0,77.0,76.0199966430664,76.0199966430664,100,2020.OL,DryBulk
2019-07-31,62.478118896484375,77.0,77.0,76.0199966430664,76.98999786376953,4324,2020.OL,DryBulk
2019-08-01,60.85531234741211,75.0,78.0,75.0,77.98999786376953,1522,2020.OL,DryBulk
2019-08-02,60.85531234741211,75.0,76.0,75.0,76.0,537,2020.OL,DryBulk
2019-08-05,60.85531234741211,75.0,75.0,75.0,75.0,0,2020.OL,DryBulk
2019-08-06,60.85531234741211,75.0,75.0,75.0,75.0,0,2020.OL,DryBulk
2019-08-07,56.77397155761719,69.97000122070312,70.02999877929688,65.0,70.02999877929688,2737,2020.OL,DryBulk
2019-08-08,57.60971450805664,71.0,71.0,69.0,69.0,2657,2020.OL,DryBulk
2019-08-09,57.60971450805664,71.0,71.0,71.0,71.0,0,2020.OL,DryBulk
2019-08-12,56.79829406738281,70.0,70.0,70.0,70.0,250,2020.OL,DryBulk
2019-08-13,58.42109298706055,72.0,72.0,65.0,70.0,9448,2020.OL,DryBulk
2019-08-14,61.09877395629883,75.30000305175781,81.0,74.0,75.0,12016,2020.OL,DryBulk
2019-08-15,60.85531234741211,75.0,76.0,72.01000213623047,76.0,2570,2020.OL,DryBulk
2019-08-16,60.84721374511719,74.98999786376953,75.01000213623047,74.98999786376953,75.0,3475,2020.OL,DryBulk
2019-08-19,64.741943359375,79.79000091552734,79.79000091552734,75.0,75.0,2220,2020.OL,DryBulk
2019-08-20,60.85531234741211,75.0,76.98999786376953,75.0,75.0,97,2020.OL,DryBulk
2019-08-21,63.28953552246094,78.0,79.0,74.0,74.0,10450,2020.OL,DryBulk
2019-08-22,63.27333450317383,77.9800033569336,77.9800033569336,76.98999786376953,77.97000122070312,8364,2020.OL,DryBulk
2019-08-23,64.10092163085938,79.0,79.0,78.0,78.0,2119,2020.OL,DryBulk
2019-08-26,62.46999740600586,76.98999786376953,77.5,76.98999786376953,77.0,1496,2020.OL,DryBulk
2019-08-27,62.478118896484375,77.0,77.0,75.01000213623047,76.98999786376953,525,2020.OL,DryBulk
2019-08-28,62.478118896484375,77.0,78.0,77.0,78.0,1194,2020.OL,DryBulk
2019-08-29,63.93867111206055,78.80000305175781,78.80000305175781,77.0,77.0,5257,2020.OL,DryBulk
2019-08-30,63.69526672363281,78.5,78.9000015258789,77.0,78.9000015258789,11528,2020.OL,DryBulk
2019-09-02,63.69526672363281,78.5,78.5,78.5,78.5,583,2020.OL,DryBulk
2019-09-03,63.61408233642578,78.4000015258789,78.4000015258789,78.4000015258789,78.4000015258789,1237,2020.OL,DryBulk
2019-09-04,63.8575439453125,78.69999694824219,78.80000305175781,78.69999694824219,78.80000305175781,2024,2020.OL,DryBulk
2019-09-05,63.04610061645508,77.69999694824219,78.80000305175781,77.5999984741211,78.75,5971,2020.OL,DryBulk
2019-09-06,64.10092163085938,79.0,79.0,78.0,78.0,2259,2020.OL,DryBulk
2019-09-09,64.10092163085938,79.0,80.0,75.0,80.0,840,2020.OL,DryBulk
2019-09-10,64.10092163085938,79.0,79.0999984741211,79.0,79.0999984741211,605,2020.OL,DryBulk
2019-09-11,64.10092163085938,79.0,79.0,75.11000061035156,75.11000061035156,509,2020.OL,DryBulk
2019-09-12,64.18208312988281,79.0999984741211,79.30000305175781,77.11000061035156,77.11000061035156,4364,2020.OL,DryBulk
2019-09-13,64.91231536865234,80.0,85.5,79.5,79.5,5924,2020.OL,DryBulk
2019-09-16,66.85972595214844,82.4000015258789,85.0,81.0199966430664,84.0,5801,2020.OL,DryBulk
2019-09-17,66.84349060058594,82.37999725341797,82.4000015258789,80.0199966430664,82.4000015258789,1228,2020.OL,DryBulk
2019-09-18,68.0768051147461,83.9000015258789,84.98999786376953,82.4000015258789,82.4000015258789,6107,2020.OL,DryBulk
2019-09-19,66.94084930419922,82.5,83.9000015258789,82.5,83.9000015258789,2494,2020.OL,DryBulk
2019-09-20,65.72373962402344,81.0,82.5,80.51000213623047,82.5,9212,2020.OL,DryBulk
2019-09-23,65.32615661621094,80.51000213623047,82.0,80.51000213623047,82.0,1715,2020.OL,DryBulk
2019-09-24,65.72373962402344,81.0,82.0,80.5,82.0,1692,2020.OL,DryBulk
2019-09-25,63.28953552246094,78.0,81.0,78.0,81.0,6460,2020.OL,DryBulk
2019-09-26,68.0768051147461,83.9000015258789,83.9000015258789,79.0,79.0,5010,2020.OL,DryBulk
2019-09-27,67.95512390136719,83.75,83.75,83.69999694824219,83.75,1363,2020.OL,DryBulk
2019-09-30,67.34654998779297,83.0,83.80000305175781,81.5999984741211,83.80000305175781,4299,2020.OL,DryBulk
2019-10-01,67.34654998779297,83.0,83.0,83.0,83.0,3100,2020.OL,DryBulk
2019-10-02,65.72373962402344,81.0,83.0,81.0,83.0,1030,2020.OL,DryBulk
2019-10-03,65.56147003173828,80.80000305175781,81.0,80.0,81.0,4725,2020.OL,DryBulk
2019-10-04,65.56147003173828,80.80000305175781,80.80000305175781,80.80000305175781,80.80000305175781,120,2020.OL,DryBulk
2019-10-07,66.37286376953125,81.80000305175781,83.0,81.4000015258789,83.0,7621,2020.OL,DryBulk
2019-10-08,66.85972595214844,82.4000015258789,83.0,82.19999694824219,82.19999694824219,5926,2020.OL,DryBulk
