Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Lineage
,GNK,GNK,GNK,GNK,GNK,GNK,,
2014-07-15,126.16680145263672,210.0,210.0,210.0,210.0,125000,GNK,DryBulk
2014-07-16,127.66883087158203,212.5,212.5,210.0,210.5,375060,GNK,DryBulk
2014-07-17,129.17079162597656,215.0,215.5,212.5,215.5,166390,GNK,DryBulk
2014-07-18,129.17079162597656,215.0,215.0,215.0,215.0,0,GNK,DryBulk
2014-07-21,129.17079162597656,215.0,216.0,215.0,216.0,15200,GNK,DryBulk
2014-07-22,128.87042236328125,214.5,216.0,214.5,216.0,1000,GNK,DryBulk
2014-07-23,128.87042236328125,214.5,214.5,214.5,214.5,10000,GNK,DryBulk
2014-07-24,128.87042236328125,214.5,214.5,214.5,214.5,0,GNK,DryBulk
2014-07-25,127.96918487548828,213.0,217.5,213.0,215.0,67700,GNK,DryBulk
2014-07-28,127.96918487548828,213.0,213.0,213.0,213.0,188090,GNK,DryBulk
2014-07-29,129.17079162597656,215.0,215.0,215.0,215.0,200,GNK,DryBulk
2014-07-30,127.96918487548828,213.0,213.0,213.0,213.0,49800,GNK,DryBulk
2014-07-31,129.17079162597656,215.0,215.0,210.0,210.0,200600,GNK,DryBulk
2014-08-01,129.17079162597656,215.0,215.0,215.0,215.0,0,GNK,DryBulk
2014-08-04,129.17079162597656,215.0,215.0,210.0,210.0,48360,GNK,DryBulk
2014-08-05,129.17079162597656,215.0,215.0,215.0,215.0,4000,GNK,DryBulk
2014-08-06,129.17079162597656,215.0,215.0,215.0,215.0,0,GNK,DryBulk
2014-08-07,129.17079162597656,215.0,215.0,205.0,205.0,240460,GNK,DryBulk
2014-08-08,129.17079162597656,215.0,215.0,215.0,215.0,400,GNK,DryBulk
2014-08-11,129.17079162597656,215.0,215.0,215.0,215.0,0,GNK,DryBulk
2014-08-12,123.16285705566406,205.0,215.0,205.0,205.0,3280,GNK,DryBulk
2014-08-13,129.17079162597656,215.0,215.0,215.0,215.0,11360,GNK,DryBulk
2014-08-14,129.17079162597656,215.0,215.0,215.0,215.0,0,GNK,DryBulk
2014-08-15,129.17079162597656,215.0,215.0,215.0,215.0,0,GNK,DryBulk
2014-08-18,126.16680145263672,210.0,210.0,210.0,210.0,100000,GNK,DryBulk
2014-08-19,129.17079162597656,215.0,215.0,215.0,215.0,0,GNK,DryBulk
2014-08-20,129.17079162597656,215.0,215.0,215.0,215.0,200,GNK,DryBulk
2014-08-21,129.17079162597656,215.0,215.0,215.0,215.0,500,GNK,DryBulk
2014-08-22,129.17079162597656,215.0,215.0,215.0,215.0,0,GNK,DryBulk
2014-08-25,129.17079162597656,215.0,215.0,215.0,215.0,1000,GNK,DryBulk
2014-08-26,129.17079162597656,215.0,215.0,215.0,215.0,0,GNK,DryBulk
2014-08-27,127.96918487548828,213.0,213.0,213.0,213.0,1300,GNK,DryBulk
2014-08-28,127.96918487548828,213.0,213.0,213.0,213.0,0,GNK,DryBulk
2014-08-29,126.16680145263672,210.0,210.0,210.0,210.0,17680,GNK,DryBulk
2014-09-02,126.46720123291016,210.5,210.5,210.0,210.0,50010,GNK,DryBulk
2014-09-03,127.96918487548828,213.0,215.0,213.0,215.0,2500,GNK,DryBulk
2014-09-04,129.17079162597656,215.0,215.0,215.0,215.0,4500,GNK,DryBulk
2014-09-05,129.17079162597656,215.0,215.0,215.0,215.0,0,GNK,DryBulk
2014-09-08,127.96918487548828,213.0,213.0,213.0,213.0,200,GNK,DryBulk
2014-09-09,126.16680145263672,210.0,212.5,210.0,210.0,50300,GNK,DryBulk
2014-09-10,126.16680145263672,210.0,210.0,210.0,210.0,0,GNK,DryBulk
2014-09-11,126.76761627197266,211.0,212.5,211.0,212.5,2100,GNK,DryBulk
2014-09-12,126.16680145263672,210.0,210.0,210.0,210.0,100,GNK,DryBulk
2014-09-15,126.76761627197266,211.0,211.0,211.0,211.0,500,GNK,DryBulk
2014-09-16,126.76761627197266,211.0,211.0,211.0,211.0,0,GNK,DryBulk
2014-09-17,126.46720123291016,210.5,211.0,210.5,211.0,1000,GNK,DryBulk
2014-09-18,126.16680145263672,210.0,210.0,210.0,210.0,100,GNK,DryBulk
2014-09-19,126.16680145263672,210.0,210.0,210.0,210.0,0,GNK,DryBulk
2014-09-22,126.16680145263672,210.0,210.0,208.5,209.5,2670,GNK,DryBulk
2014-09-23,123.46324920654297,205.5,208.0,205.5,208.0,970,GNK,DryBulk
2014-09-24,123.46324920654297,205.5,205.5,205.5,205.5,0,GNK,DryBulk
2014-09-25,123.46324920654297,205.5,205.5,205.5,205.5,0,GNK,DryBulk
2014-09-26,123.16285705566406,205.0,205.5,205.0,205.5,400,GNK,DryBulk
2014-09-29,120.15889739990234,200.0,205.0,200.0,205.0,800,GNK,DryBulk
2014-09-30,120.15889739990234,200.0,200.0,200.0,200.0,1000,GNK,DryBulk
2014-10-01,115.65290832519531,192.5,198.5,192.5,198.5,1700,GNK,DryBulk
2014-10-02,111.1469497680664,185.0,192.5,178.5,192.5,1400,GNK,DryBulk
2014-10-03,106.64103698730469,177.5,177.5,177.5,177.5,100,GNK,DryBulk
2014-10-06,106.64103698730469,177.5,177.5,177.5,177.5,0,GNK,DryBulk
2014-10-07,106.64103698730469,177.5,177.5,177.5,177.5,0,GNK,DryBulk
2014-10-08,106.64103698730469,177.5,177.5,177.5,177.5,0,GNK,DryBulk
2014-10-09,106.64103698730469,177.5,177.5,177.5,177.5,0,GNK,DryBulk
2014-10-10,106.64103698730469,177.5,177.5,177.5,177.5,0,GNK,DryBulk
2014-10-13,105.1990966796875,175.10000610351562,175.10000610351562,175.10000610351562,175.10000610351562,220,GNK,DryBulk
2014-10-14,105.13903045654297,175.0,175.10000610351562,165.0,175.10000610351562,1600,GNK,DryBulk
2014-10-15,90.11913299560547,150.0,150.0,150.0,150.0,500,GNK,DryBulk
2014-10-16,90.11913299560547,150.0,150.0,150.0,150.0,550,GNK,DryBulk
2014-10-17,90.11913299560547,150.0,150.0,150.0,150.0,0,GNK,DryBulk
2014-10-20,90.11913299560547,150.0,150.0,150.0,150.0,0,GNK,DryBulk
2014-10-21,90.11913299560547,150.0,150.0,150.0,150.0,0,GNK,DryBulk
2014-10-22,90.11913299560547,150.0,150.0,150.0,150.0,0,GNK,DryBulk
2014-10-23,93.12312316894531,155.0,160.0,150.0,155.0,257660,GNK,DryBulk
2014-10-24,93.42352294921875,155.5,156.5,155.5,156.1999969482422,592590,GNK,DryBulk
2014-10-27,93.12312316894531,155.0,155.0,155.0,155.0,310,GNK,DryBulk
