Date,Open,High,Low,Close
1969-12-01,610.0,610.0,610.0,610.0
1985-01-01,1000.0,1000.0,970.5,971.5
1985-02-01,973.5,986.5,965.5,984.0
1985-03-01,984.0,1016.5,979.5,1016.5
1985-04-01,1018.5,1064.5,1018.5,1063.0
1985-05-01,1062.0,1062.0,931.5,931.5
1985-06-03,931.0,931.5,872.5,872.5
1985-07-01,864.5,864.5,725.5,725.5
1985-08-01,718.5,741.5,711.5,738.0
1985-09-02,738.5,893.5,735.0,893.5
1985-10-01,905.5,906.0,868.5,905.0
1985-11-01,906.5,915.0,890.5,915.0
1985-12-02,916.0,921.5,893.5,898.0
1986-01-01,897.5,919.5,831.0,831.0
1986-02-03,827.5,827.5,737.0,737.0
1986-03-03,734.0,748.0,733.0,733.5
1986-04-01,732.5,732.5,659.0,659.0
1986-05-01,658.0,669.0,644.5,665.0
1986-06-02,665.0,665.0,585.5,585.5
1986-07-01,585.5,585.5,553.5,553.5
1986-08-01,556.0,664.0,554.0,664.0
1986-09-01,672.0,800.0,672.0,799.5
1986-10-01,794.5,795.5,784.0,786.5
1986-11-03,784.0,787.0,737.5,737.5
1986-12-01,736.0,736.0,693.5,699.0
1987-01-01,703.0,866.5,703.0,866.5
1987-02-02,861.5,861.5,848.0,852.5
1987-03-02,856.5,991.5,856.5,991.5
1987-04-01,998.0,1033.0,998.0,1019.5
1987-05-01,1025.0,1102.0,1025.0,1070.5
1987-06-01,1069.5,1069.5,879.5,879.5
1987-07-01,874.0,976.5,874.0,976.5
1987-08-03,982.5,1129.0,982.5,1111.0
1987-09-01,1105.0,1105.0,1026.0,1045.0
1987-10-01,1052.0,1171.5,1052.0,1171.5
1987-11-02,1172.5,1175.5,1152.0,1175.5
1987-12-01,1183.5,1271.0,1183.5,1263.5
1988-01-01,1270.0,1402.5,1270.0,1393.0
1988-02-01,1399.5,1568.5,1399.5,1563.5
1988-03-01,1562.5,1648.5,1562.0,1617.0
1988-04-01,1612.0,1612.0,1358.0,1358.0
1988-05-02,1345.0,1455.5,1339.0,1349.0
1988-06-01,1328.5,1328.5,1208.5,1208.5
1988-07-01,1206.0,1210.0,1171.0,1197.0
1988-08-01,1196.0,1272.0,1190.0,1272.0
1988-09-01,1272.0,1289.0,1266.0,1270.0
1988-10-03,1275.0,1373.0,1275.0,1373.0
1988-11-01,1378.0,1517.0,1378.0,1501.0
1988-12-01,1501.0,1543.0,1485.0,1543.0
1989-01-02,1544.0,1650.0,1544.0,1619.0
1989-02-01,1608.0,1608.0,1495.0,1553.0
1989-03-01,1563.0,1647.0,1563.0,1631.0
1989-04-03,1619.0,1629.0,1614.0,1629.0
1989-05-01,1641.0,1751.0,1596.0,1596.0
1989-06-01,1587.0,1587.0,1390.0,1413.0
1989-07-03,1414.0,1414.0,1376.0,1393.0
1989-08-01,1392.0,1427.0,1379.0,1426.0
1989-09-01,1426.0,1441.0,1413.0,1420.0
1989-10-02,1424.0,1647.0,1424.0,1647.0
1989-11-01,1647.0,1688.0,1647.0,1653.0
1989-12-01,1640.0,1640.0,1584.0,1592.0
1990-01-01,1599.0,1669.0,1599.0,1644.0
1990-02-01,1642.0,1642.0,1576.0,1604.0
1990-03-01,1603.0,1629.0,1529.0,1529.0
1990-04-02,1528.0,1528.0,1361.0,1361.0
1990-05-01,1355.0,1355.0,1299.0,1299.0
1990-06-01,1301.0,1305.0,1089.0,1089.0
1990-07-02,1082.0,1165.0,1056.0,1165.0
1990-08-01,1175.0,1237.0,1175.0,1208.0
1990-09-03,1203.0,1203.0,1168.0,1168.0
1990-10-01,1167.0,1330.0,1155.0,1309.0
1990-11-01,1311.0,1348.0,1280.0,1348.0
1990-12-03,1365.0,1456.0,1365.0,1446.0
1991-01-01,1447.0,1473.0,1432.0,1473.0
